15 11
Carina Jennie Damon Vern Kennith Jay Loretta Darrel Lane Brain Ami
68.07 52.49 0.73 36.58 89.30 12.72 75.44 8.78 79.23 77.09 44.40
81.65 44.92 30.42 79.87 25.03 23.27 17.29 88.40 26.12 43.03 31.69
77.09 71.57 95.60 9.33 30.99 2.78 18.16 53.35 90.97 78.26 35.12
92.67 38.10 76.33 9.79 91.49 65.79 88.21 19.67 6.72 13.93 93.36
54.85 17.45 52.28 40.91 1.94 63.57 50.01 11.53 67.08 79.44 56.68
14.90 81.24 21.96 95.30 9.03 77.22 46.66 85.49 80.24 78.01 68.53
9.77 74.08 82.28 49.33 2.98 89.81 86.35 80.13 38.65 98.14 90.63
45.36 94.25 16.69 41.15 0.94 56.29 65.01 65.17 41.95 1.05 4.04
94.51 42.98 21.88 11.23 95.05 68.82 67.52 15.66 67.16 3.37 44.38
31.44 15.01 48.97 38.71 58.28 11.37 93.58 31.77 23.97 22.94 79.04
16.09 62.31 97.45 41.75 36.35 62.98 81.42 3.99 79.68 4.12 2.60
35.57 15.94 80.08 63.95 59.68 91.13 45.30 10.06 9.62 79.42 53.65
20.82 98.52 7.67 38.21 56.95 47.12 36.71 99.01 85.90 48.31 47.38
30.57 16.16 97.90 56.40 6.79 73.35 70.06 79.72 60.98 90.95 53.19
34.54 52.23 22.89 67.60 89.05 61.26 61.23 95.06 58.13 67.70 52.38
